Time Stamp;available_memory_MB;app_pss_MB;battery_level_percentage;battery_temperature_celcius;battery_current_now_milliamps;sensor_temperature_celcius;power_current;power_level_state;power_voltage;power_wattage;cpu_level;gpu_level;cpu_frequency_MHz;gpu_frequency_MHz;mem_frequency_MHz;minimum_vsyncs;extra_latency_mode;phase_sync_mode;average_frame_rate;display_refresh_rate;average_prediction_milliseconds;screen_tear_count;early_frame_count;stale_frame_count;maximum_rotational_speed_degrees_per_second;foveation_level;eye_buffer_width;eye_buffer_height;app_gpu_time_microseconds;timewarp_gpu_time_microseconds;guardian_gpu_time_microseconds;cpu_utilization_percentage;cpu_utilization_percentage_core0;cpu_utilization_percentage_core1;cpu_utilization_percentage_core2;cpu_utilization_percentage_core3;cpu_utilization_percentage_core4;cpu_utilization_percentage_core5;cpu_utilization_percentage_core6;cpu_utilization_percentage_core7;gpu_utilization_percentage;spacewarp_motion_vector_type;spacewarped_frames_per_second;app_vss_MB;app_rss_MB;app_dalvik_pss_MB;app_private_dirty_MB;app_private_clean_MB;app_uss_MB;stale_frames_consecutive;max_repeated_frames;avg_vertices_per_frame;avg_fill_percentage;avg_inst_per_frag;avg_inst_per_vert;avg_frag_inst_per_pixel;avg_vert_inst_per_pixel;avg_textures_per_frag;percent_time_shading_frags;percent_time_shading_verts;percent_time_compute;percent_vertex_fetch_stall;percent_texture_fetch_stall;percent_texture_l1_miss;percent_texture_l2_miss;percent_texture_nearest_filtered;percent_texture_linear_filtered;percent_texture_anisotropic_filtered;vrshell_average_frame_rate;vrshell_gpu_time_microseconds;vrshell_and_guardian_gpu_time_microseconds;render_scale;dynres_recommendation_percentage;dynres_recommendation_width;dynres_recommendation_height
1001;1549;1824;37;40;9999;0;1784;0;3615;6449;5;4;1478;525;2000;1;0;1;43;72;56;0;21;58;0;0;2304;2536;10229;1400;0;37;100;100;100;100;32;32;37;97;88;0;0;14759;1916;0;1712;93;1806;141;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
2033;1549;1824;37;40;9999;0;2025;0;3625;7340;5;4;1478;525;2000;1;0;1;53;72;51;0;10;31;0;0;2304;2536;14828;1331;0;31;100;100;100;100;31;23;31;96;86;0;0;14759;1916;0;1712;93;1806;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
3001;1549;1824;37;41;9999;0;1879;0;3625;6811;5;4;1478;525;2000;1;0;1;55;72;51;0;21;23;0;0;2304;2536;14730;2814;0;39;100;100;100;100;34;29;39;90;94;0;0;14759;1916;0;1712;93;1806;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
4001;1549;1824;37;41;9999;0;1852;0;3625;6713;5;4;1478;525;2000;1;0;1;51;72;52;0;8;21;0;0;2304;2536;16509;2822;0;40;100;100;100;100;29;36;40;97;97;0;0;14759;1916;0;1712;93;1806;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
5002;1549;1824;37;41;9999;0;1380;0;3618;4992;5;4;1478;525;2000;1;0;1;51;72;50;0;7;25;0;0;2304;2536;13689;3031;0;29;100;100;100;100;21;28;29;85;98;0;0;14759;1916;0;1712;93;1806;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
6002;1549;1824;37;41;9999;0;1348;0;3618;4877;5;4;1478;525;2000;1;0;1;51;72;50;0;5;25;0;0;2304;2536;13180;3332;0;28;100;100;100;100;23;18;28;50;98;0;0;14759;1916;0;1712;93;1806;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
7002;1549;1824;37;41;9999;0;1539;0;3618;5568;5;4;1478;525;2000;1;0;1;50;72;53;1;8;22;0;0;2304;2536;17990;3357;0;32;100;100;100;100;28;32;32;45;94;0;0;14759;1916;0;1712;93;1806;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
8002;1549;1824;37;41;9999;0;1653;0;3618;5980;5;4;1478;525;2000;1;0;1;46;72;54;0;9;31;0;0;2304;2536;16915;3350;0;26;100;100;100;100;19;25;26;35;92;0;0;14759;1916;0;1712;93;1806;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
9004;1549;1824;37;41;9999;0;1216;0;3618;4399;5;4;1478;525;2000;1;0;1;42;72;56;0;11;33;0;0;2304;2536;15980;3377;0;24;100;100;100;100;15;23;24;29;96;0;0;14759;1916;0;1712;93;1806;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
10003;1549;1824;37;41;9999;0;1497;0;3618;5416;5;4;1478;525;2000;1;0;1;46;72;53;0;6;26;0;0;2304;2536;16306;3382;0;26;100;100;100;100;16;24;26;39;97;0;0;14759;1916;0;1712;93;1806;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
